aX,aY,aZ
-0.13,-0.786,1.08
-0.353,-0.59,1.048
0.113,-0.306,0.85
0.409,-0.154,0.918
-0.272,-0.122,0.803
0.205,-0.159,0.714
0.292,0.035,0.947
0.252,-0.009,0.989
0.073,-0.077,1.054
0.078,-0.165,1.049
0.106,-0.166,1.041
0.176,-0.186,1.02
0.212,-0.172,1.011
0.272,-0.248,0.981
0.632,-0.266,0.903
0.794,-0.323,1.013
0.416,-0.401,1.023
0.424,-0.366,1.103
0.412,-0.167,1.163
0.247,0.069,0.982
0.126,0.189,0.91
0.212,0.062,0.855
0.27,0.064,0.908
0.2,-0.068,0.974
0.21,-0.113,1.043
0.207,-0.042,1.023
0.165,-0.066,0.974
0.154,-0.099,1.03
0.138,-0.052,1.04
-0.059,-0.069,1.011
-0.18,-0.099,1.031
-0.169,-0.165,1.059
-0.135,-0.123,0.993
0.108,-0.135,0.916
0.116,-0.154,0.9
0.125,-0.297,0.809
0.283,-0.257,0.752
0.402,-0.187,0.761
0.48,-0.16,0.897
0.478,-0.09,0.861
0.523,0.022,0.847
0.525,-0.054,0.885
0.517,-0.092,0.833
0.459,-0.015,0.759
0.487,0.004,0.752
0.408,0.17,0.561
0.449,0.05,0.609
0.32,0.097,0.621
0.182,0.063,0.609
0.12,-0.015,0.775
0.047,-0.006,1.013
-0.018,0.046,1.056
-0.11,0.156,1.261
-0.541,0.411,1.853
-0.692,0.418,2.024
-0.438,-0.42,1.32
-0.307,-0.447,1.025
-0.145,-0.248,1.024
0.031,0.14,1.104
0.177,0.351,1.098
0.201,0.4,1.011
0.168,0.365,0.885
0.093,0.432,0.772
0.099,0.386,0.833
0.026,0.269,0.794
0.062,0.064,1.095
0.001,-0.039,1.131
-0.092,-0.002,1.12
-0.071,0.043,1.209
0.028,0.094,1.229
0.046,0.076,1.19
0.059,0.037,1.098
0.062,-0.016,0.899
0.112,-0.018,0.839
0.191,-0.001,0.899
0.196,0.069,0.923
0.267,0.022,0.849
0.276,0.055,0.895
0.195,0.045,0.997
0.037,0.053,1.128
-0.074,-0.018,1.065
-0.046,-0.067,0.985
0.022,-0.089,0.94
0.042,-0.078,0.929
0.06,-0.142,0.931
0.101,-0.181,0.888
0.118,-0.27,0.909
0.103,-0.33,1.043
0.118,-0.33,0.996
0.137,-0.341,1.019
0.103,-0.23,0.882
0.119,-0.152,1.02
0.164,-0.065,1.102
0.131,0.019,0.8
0.131,0.032,0.875
0.148,0.073,1.004
0.276,-0.051,1.145
0.297,-0.206,1.06
0.238,-0.417,0.974
0.138,-0.514,0.898
0.108,-0.5,0.879
0.116,-0.434,0.872
0.125,-0.331,0.892
0.134,-0.259,0.902
0.149,-0.183,0.969
0.135,-0.134,1.034
0.129,-0.127,1.04
0.11,-0.129,1.032
0.037,-0.105,0.927
-0.029,0.022,0.671
-0.117,0.068,0.927
-0.063,0.072,0.949
0.131,-0.007,1.066
0.208,-0.1,1.091
0.222,-0.224,1.078
0.207,-0.39,1.039
0.177,-0.42,1.024
0.168,-0.365,1.023
0.16,-0.316,1.032
0.434,-0.833,0.737
0.398,-0.785,0.711
0.215,-0.709,0.628
0.183,-0.577,0.496
0.232,-0.51,0.334
0.224,-0.41,0.233
0.238,-0.496,0.073
0.269,-0.545,0.031
0.315,-0.681,0.028
0.422,-0.818,0.194
0.579,-0.886,0.307
0.604,-0.891,0.271
0.556,-0.891,0.128
0.556,-0.881,0.083
0.513,-0.855,0.007
0.478,-0.843,-0.02
0.459,-0.843,-0.034
0.456,-0.829,-0.051
0.491,-0.826,-0.028
0.504,-0.819,0.018
0.513,-0.794,0.055
0.505,-0.764,0.085
0.501,-0.715,0.132
0.52,-0.636,0.188
0.534,-0.617,0.151
0.526,-0.632,0.089
0.529,-0.67,0.022
0.527,-0.723,0.003
0.507,-0.728,-0.034
0.529,-0.718,-0.086
0.573,-0.721,-0.143
0.581,-0.723,-0.22
0.484,-0.719,-0.256
0.451,-0.667,-0.244
0.43,-0.643,-0.23
0.447,-0.602,-0.358
0.447,-0.574,-0.455
0.348,-0.591,-0.444
0.301,-0.612,-0.405
0.35,-0.668,-0.371
0.397,-0.725,-0.365
0.392,-0.8,-0.34
0.508,-0.905,-0.27
0.596,-0.969,-0.239
0.623,-0.985,-0.242
0.62,-0.942,-0.241
0.636,-0.889,-0.306
0.564,-0.758,-0.475
0.445,-0.627,-0.652
0.359,-0.521,-0.833
0.372,-0.495,-0.872
0.385,-0.5,-0.861
0.437,-0.532,-0.852
0.511,-0.592,-0.891
0.589,-0.71,-0.854
0.593,-0.804,-0.759
0.604,-0.919,-0.668
0.659,-0.95,-0.584
0.662,-0.962,-0.439
0.627,-0.964,-0.327
0.587,-0.945,-0.301
0.505,-0.928,-0.378
0.347,-0.925,-0.445
0.408,-0.849,-0.481
0.391,-0.812,-0.542
0.358,-0.796,-0.616
0.286,-0.785,-0.642
0.332,-0.767,-0.577
0.344,-0.756,-0.601
0.331,-0.78,-0.608
0.378,-0.853,-0.588
0.368,-0.895,-0.572
0.366,-0.942,-0.551
0.402,-0.954,-0.432
0.432,-0.963,-0.36
0.413,-0.952,-0.374
0.328,-0.896,-0.427
0.289,-0.84,-0.465
0.275,-0.825,-0.475
0.273,-0.811,-0.49
0.289,-0.801,-0.517
0.324,-0.795,-0.547
0.366,-0.802,-0.631
0.396,-0.838,-0.686
0.41,-0.855,-0.688
0.429,-0.867,-0.672
0.462,-0.877,-0.641
0.507,-0.91,-0.593
0.532,-0.922,-0.544
0.551,-0.934,-0.472
0.513,-0.93,-0.451
0.474,-0.908,-0.419
0.415,-0.862,-0.392
0.366,-0.797,-0.392
0.302,-0.759,-0.335
0.294,-0.732,-0.284
0.337,-0.729,-0.227
0.409,-0.741,-0.197
0.452,-0.755,-0.189
0.549,-0.805,-0.208
0.633,-0.867,-0.284
0.697,-0.95,-0.368
0.678,-0.992,-0.387
0.651,-0.982,-0.374
0.611,-0.935,-0.346
0.561,-0.87,-0.312
0.495,-0.783,-0.226
0.398,-0.685,-0.149
0.352,-0.643,0.005
0.295,-0.6,0.12
0.257,-0.596,0.303
0.239,-0.594,0.417
0.276,-0.601,0.529
0.315,-0.626,0.577
0.349,-0.659,0.594
0.467,-0.715,0.54
0.568,-0.82,0.466
0.565,-0.87,0.398
0.528,-0.869,0.381
0.129,-0.651,1.269
0.194,-0.773,1.257
0.163,-0.795,1.189
0.157,-0.785,1.106
0.119,-0.708,1.045
0.074,-0.62,0.991
0.038,-0.549,0.938
-0.02,-0.505,0.932
-0.044,-0.471,0.954
-0.052,-0.463,0.954
-0.069,-0.47,0.949
-0.07,-0.485,0.946
-0.07,-0.492,0.953
-0.059,-0.499,0.96
-0.037,-0.519,0.963
0.024,-0.567,0.952
0.068,-0.592,0.934
0.096,-0.611,0.889
0.069,-0.572,0.833
0.037,-0.536,0.731
0.038,-0.509,0.755
0.035,-0.482,0.736
0.047,-0.456,0.748
0.053,-0.452,0.755
0.04,-0.446,0.763
0.035,-0.442,0.776
0.034,-0.452,0.787
0.036,-0.467,0.784
0.031,-0.488,0.785
0.022,-0.504,0.793
0.021,-0.517,0.803
0.028,-0.539,0.841
0.048,-0.563,0.869
0.057,-0.569,0.904
0.06,-0.561,0.923
0.063,-0.543,0.941
0.064,-0.529,0.949
0.059,-0.51,0.94
0.042,-0.479,0.926
0.039,-0.465,0.922
0.036,-0.473,0.922
0.045,-0.506,0.914
0.054,-0.537,0.913
0.061,-0.568,0.916
0.055,-0.566,0.913
0.035,-0.543,0.9
0.035,-0.522,0.882
0.035,-0.513,0.881
0.036,-0.511,0.882
0.034,-0.514,0.88
0.031,-0.516,0.874
0.031,-0.521,0.872
0.033,-0.519,0.872
0.034,-0.522,0.869
0.037,-0.527,0.865
0.031,-0.529,0.862
0.023,-0.529,0.847
0.012,-0.513,0.84
-0.002,-0.491,0.84
-0.004,-0.484,0.855
-0.028,-0.485,0.895
-0.055,-0.491,0.938
-0.02,-0.478,0.957
0.048,-0.458,0.957
0.069,-0.452,0.939
0.052,-0.45,0.913
0.014,-0.454,0.892
-0.023,-0.456,0.874
-0.045,-0.458,0.864
-0.053,-0.463,0.87
-0.038,-0.474,0.877
-0.03,-0.478,0.874
-0.019,-0.487,0.873
-0.013,-0.621,0.874
-0.002,-0.516,0.889
0.006,-0.521,0.903
0.015,-0.518,0.913
0.032,-0.499,0.901
0.043,-0.485,0.888
0.037,-0.479,0.89
0.026,-0.48,0.874
0.006,-0.488,0.853
-0.011,-0.494,0.849
-0.016,-0.486,0.873
-0.01,-0.478,0.888
-0.008,-0.484,0.892
-0.011,-0.495,0.892
-0.014,-0.504,0.895
-0.009,-0.51,0.898
0.001,-0.51,0.911
0.006,-0.5,0.932
0.008,-0.487,0.922
0.007,-0.474,0.907
0.011,-0.479,0.883
0.011,-0.487,0.877
0.002,-0.488,0.87
-0.007,-0.485,0.862
-0.008,-0.484,0.865
-0.007,-0.486,0.88
-0.017,-0.485,0.896
-0.035,-0.46,0.897
-0.041,-0.447,0.899
-0.05,-0.448,0.881
-0.058,-0.485,0.854
-0.057,-0.499,0.845
-0.051,-0.504,0.852
-0.027,-0.509,0.865
-0.015,-0.502,0.893
-0.011,-0.491,0.9
-0.007,-0.487,0.905
0.01,-0.492,0.913
0.014,-0.491,0.916
0.014,-0.489,0.915
0.011,-0.488,0.905
0.004,-0.484,0.896
-0.012,-0.48,0.887
-0.022,-0.478,0.887
-0.036,-0.48,0.886
-0.053,-0.474,0.87
0.465,-0.752,0.785
0.193,-0.556,0.788
0.074,-0.486,0.578
0.036,-0.546,0.563
0.094,-0.614,0.613
0.175,-0.681,0.6
0.209,-0.687,0.497
0.244,-0.705,0.431
0.276,-0.804,0.446
0.302,-0.874,0.45
0.339,-0.874,0.421
0.344,-0.874,0.367
0.405,-0.854,0.283
0.294,-0.814,0.179
0.243,-0.744,-0.093
0.192,-0.712,-0.326
0.444,-0.773,-0.336
0.393,-0.869,-0.241
0.453,-0.923,-0.157
0.36,-0.928,-0.086
0.304,-0.9,0.008
0.297,-0.875,-0.028
0.326,-0.874,-0.112
0.285,-0.939,-0.186
0.25,-0.95,-0.245
0.325,-0.967,-0.229
0.381,-1.032,-0.186
0.419,-1.063,-0.186
0.432,-1.085,-0.158
0.451,-1.068,-0.142
0.454,-1.069,-0.145
0.447,-1.081,-0.171
0.445,-1.096,-0.164
0.452,-1.108,-0.155
0.454,-1.114,-0.137
0.443,-1.09,-0.123
0.427,-1.079,-0.105
